train,delay_min,scraped_at
КПВ 20224,0,2025-12-27 12:20:21.518927
БВ 8610,9,2025-12-27 12:20:21.519141
БВ 5612,0,2025-12-27 12:20:21.519355
БВ 3622,213,2025-12-27 12:20:21.519563
КПВ 20242,0,2025-12-27 12:20:21.519760
КПВ 10215,0,2025-12-27 12:20:21.519945
БВ 1622,8,2025-12-27 12:20:21.520139
ПВ 30114,0,2025-12-27 12:20:21.520342
ПВ 50112,0,2025-12-27 12:20:21.520527
КПВ 10224,0,2025-12-27 12:20:21.520715
ПВ 20104,0,2025-12-27 12:20:21.520895
КПВ 10209,0,2025-12-27 12:20:21.521075
БВ 8650,16,2025-12-27 12:20:21.521284
БВ 5614,0,2025-12-27 12:20:21.521476
КПВ 20244,0,2025-12-27 12:20:21.521659
КПВ 50210,0,2025-12-27 12:20:21.521839
КПВ 10226,0,2025-12-27 12:20:21.522024
КПВ 20226,0,2025-12-27 12:20:21.522221
ПВ 10123,0,2025-12-27 12:20:21.522406
КПВ 50232,0,2025-12-27 12:20:21.522587
БВ 8610,9,2025-12-27 12:48:20.462285
БВ 5612,0,2025-12-27 12:48:20.462489
БВ 3622,211,2025-12-27 12:48:20.462689
КПВ 20242,0,2025-12-27 12:48:20.462880
КПВ 10215,0,2025-12-27 12:48:20.463063
БВ 1622,15,2025-12-27 12:48:20.463278
ПВ 30114,0,2025-12-27 12:48:20.463467
ПВ 50112,0,2025-12-27 12:48:20.463667
КПВ 10224,0,2025-12-27 12:48:20.463847
ПВ 20104,0,2025-12-27 12:48:20.464034
КПВ 10209,0,2025-12-27 12:48:20.464230
БВ 8650,17,2025-12-27 12:48:20.464432
БВ 5614,0,2025-12-27 12:48:20.464614
КПВ 20244,0,2025-12-27 12:48:20.464801
КПВ 50210,0,2025-12-27 12:48:20.464981
КПВ 10226,0,2025-12-27 12:48:20.465162
КПВ 20226,0,2025-12-27 12:48:20.465367
ПВ 10123,0,2025-12-27 12:48:20.465557
КПВ 50232,0,2025-12-27 12:48:20.465748
КПВ 20246,0,2025-12-27 12:48:20.465947
МБВ 463,0,2025-12-27 12:48:20.466130
БВ 8610,5,2025-12-27 13:00:32.954212
БВ 5612,0,2025-12-27 13:00:32.954437
БВ 3622,211,2025-12-27 13:00:32.954654
КПВ 20242,0,2025-12-27 13:00:32.954847
КПВ 10215,0,2025-12-27 13:00:32.955032
БВ 1622,15,2025-12-27 13:00:32.955230
ПВ 30114,0,2025-12-27 13:00:32.955435
ПВ 50112,0,2025-12-27 13:00:32.955632
КПВ 10224,0,2025-12-27 13:00:32.955817
ПВ 20104,0,2025-12-27 13:00:32.956003
КПВ 10209,0,2025-12-27 13:00:32.956187
БВ 8650,17,2025-12-27 13:00:32.956382
БВ 5614,0,2025-12-27 13:00:32.956597
КПВ 20244,0,2025-12-27 13:00:32.956787
КПВ 50210,0,2025-12-27 13:00:32.956974
КПВ 10226,0,2025-12-27 13:00:32.957158
КПВ 20226,0,2025-12-27 13:00:32.957356
ПВ 10123,0,2025-12-27 13:00:32.957561
КПВ 50232,0,2025-12-27 13:00:32.957746
КПВ 20246,0,2025-12-27 13:00:32.957932
МБВ 463,0,2025-12-27 13:00:32.958114
ПВ 30116,0,2025-12-27 13:00:32.958298
БВ 3622,214,2025-12-27 13:34:26.579880
КПВ 20242,0,2025-12-27 13:34:26.580078
КПВ 10215,0,2025-12-27 13:34:26.580269
БВ 1622,14,2025-12-27 13:34:26.580489
ПВ 30114,0,2025-12-27 13:34:26.580681
ПВ 50112,0,2025-12-27 13:34:26.580866
КПВ 10224,0,2025-12-27 13:34:26.581052
ПВ 20104,0,2025-12-27 13:34:26.581238
КПВ 10209,0,2025-12-27 13:34:26.581439
БВ 8650,18,2025-12-27 13:34:26.581638
БВ 5614,0,2025-12-27 13:34:26.581830
КПВ 20244,0,2025-12-27 13:34:26.582017
КПВ 50210,0,2025-12-27 13:34:26.582202
КПВ 10226,0,2025-12-27 13:34:26.582398
КПВ 20226,0,2025-12-27 13:34:26.582586
ПВ 10123,0,2025-12-27 13:34:26.582770
КПВ 50232,0,2025-12-27 13:34:26.582952
КПВ 20246,0,2025-12-27 13:34:26.583141
МБВ 463,0,2025-12-27 13:34:26.583338
